5955.246626128059 100-500-0.3-0.6-0.09999999999999998,162333.28336791892 150-500-0.3-0.6-0.09999999999999998,5601.257979334842 180-500-0.3-0.6-0.09999999999999998,47253.982309930754 200-500-0.3-0.6-0.09999999999999998,55024.73307096625 220-500-0.3-0.6-0.09999999999999998,24380.551650108624 250-500-0.3-0.6-0.09999999999999998,9235.156555897021 300-500-0.3-0.6-0.09999999999999998,6532.008191296227 400-500-0.3-0.6-0.09999999999999998,39964.703264485914 500-500-0.3-0.6-0.09999999999999998,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Number of Genomes,Fitness
5955.246626128059 100-500-0.3-0.6-0.09999999999999998,,,,,,,5955.246626,100-500-0.3-0.6-0.09999999999999998,,,,,,100,5955.246626
162333.28336791892 150-500-0.3-0.6-0.09999999999999998,,,,,,,162333.2834,150-500-0.3-0.6-0.09999999999999998,,,,,,150,162333.2834
5601.257979334842 180-500-0.3-0.6-0.09999999999999998,,,,,,,5601.257979,180-500-0.3-0.6-0.09999999999999998,,,,,,180,5601.257979
47253.982309930754 200-500-0.3-0.6-0.09999999999999998,,,,,,,47253.98231,200-500-0.3-0.6-0.09999999999999998,,,,,,200,47253.98231
55024.73307096625 220-500-0.3-0.6-0.09999999999999998,,,,,,,55024.73307,220-500-0.3-0.6-0.09999999999999998,,,,,,220,55024.73307
24380.551650108624 250-500-0.3-0.6-0.09999999999999998,,,,,,,24380.55165,250-500-0.3-0.6-0.09999999999999998,,,,,,250,24380.55165
9235.156555897021 300-500-0.3-0.6-0.09999999999999998,,,,,,,9235.156556,300-500-0.3-0.6-0.09999999999999998,,,,,,300,9235.156556
6532.008191296227 400-500-0.3-0.6-0.09999999999999998,,,,,,,6532.008191,400-500-0.3-0.6-0.09999999999999998,,,,,,400,6532.008191
39964.703264485914 500-500-0.3-0.6-0.09999999999999998,,,,,,,39964.70326,500-500-0.3-0.6-0.09999999999999998,,,,,,500,39964.70326
