[30, 36, 42, 48, 54]
[0.004]
[5000, 10000, 25000, 50000, 100000]
906.6629235926265,575.2908002277533,534.8823512898326,392.5856359681189,197.48964191088328,

906.7205302784098,733.5606298377202,495.5510760985816,349.23864599507397,251.5783983116338,

941.208088790475,794.7329263215431,542.066874059787,322.30219154936884,254.09579732435708,

931.1693708339151,746.5105217023149,601.6882923947057,482.1444402512443,364.27373034108876,

964.1767502141072,769.1622319605456,499.22924265823224,528.0693593753729,362.4539104500385,

