[42, 48, 54, 60, 66]
[0.005]
[5000, 10000, 25000, 50000, 100000]
850.0132082027617,649.8871595705792,520.4849289411461,436.17413871286635,319.0708812476754,

868.1920505672613,723.5294661838016,651.4576661724063,475.84659489912843,305.7365665700189,

865.870902074977,719.6039863908373,528.2877618718524,411.4672268170093,506.3075342816318,

918.1421872486682,699.6109206796225,621.319238098261,466.6990146885593,470.96552995843416,

862.5817002268128,772.0484959004444,623.7049880676859,449.2371310715904,483.253505112998,

